,Name,Sales,Dollar Volume,Average Price,Median Price,New listings,SNLR,Active listings,MI,Avg SP/LP,Avg DOM,year,month,day,date
0,TRREB Total,4567.0,2116961749.0,463534.0,392000.0,9655.0,60.7,12290.0,2.2,98.0,32.0,2012,1,15,2012-01-15
1,City of Toronto Total,1705.0,850871140.0,499045.0,396000.0,4041.0,59.6,5134.0,2.2,99.0,31.0,2012,1,15,2012-01-15
2,Toronto West,433.0,173892394.0,401599.0,360000.0,1032.0,58.1,1419.0,2.6,98.0,38.0,2012,1,15,2012-01-15
3,Toronto W01,17.0,9044400.0,532024.0,490000.0,71.0,60.0,88.0,2.1,100.0,24.0,2012,1,15,2012-01-15
4,Toronto W02,41.0,19072811.0,465191.0,439000.0,67.0,70.3,63.0,1.2,101.0,24.0,2012,1,15,2012-01-15
5,Toronto W03,42.0,14301400.0,340510.0,335000.0,76.0,58.6,92.0,2.2,98.0,45.0,2012,1,15,2012-01-15
6,Toronto W04,46.0,13710588.0,298056.0,239000.0,98.0,59.3,153.0,2.8,97.0,36.0,2012,1,15,2012-01-15
7,Toronto W05,54.0,18263100.0,338206.0,335250.0,129.0,54.3,206.0,3.3,97.0,39.0,2012,1,15,2012-01-15
8,Toronto W06,57.0,23303294.0,408830.0,362000.0,191.0,49.9,287.0,3.2,99.0,45.0,2012,1,15,2012-01-15
9,Toronto W07,16.0,10115000.0,632188.0,535000.0,23.0,68.9,27.0,1.5,98.0,29.0,2012,1,15,2012-01-15
10,Toronto W08,83.0,42227380.0,508764.0,410000.0,193.0,62.0,235.0,2.2,99.0,37.0,2012,1,15,2012-01-15
11,Toronto W09,28.0,10287021.0,367394.0,404000.0,61.0,54.4,91.0,3.3,97.0,40.0,2012,1,15,2012-01-15
12,Toronto W10,49.0,13567400.0,276886.0,281000.0,123.0,55.1,177.0,3.2,96.0,42.0,2012,1,15,2012-01-15
13,Toronto Central,770.0,474780215.0,616598.0,439950.0,2002.0,59.6,2548.0,2.1,99.0,31.0,2012,1,15,2012-01-15
14,Toronto C01,193.0,84774582.0,439247.0,385750.0,654.0,54.6,867.0,2.6,98.0,32.0,2012,1,15,2012-01-15
15,Toronto C02,36.0,34249000.0,951361.0,824750.0,109.0,55.7,171.0,2.7,99.0,39.0,2012,1,15,2012-01-15
16,Toronto C03,27.0,22784400.0,843867.0,617000.0,57.0,59.8,73.0,2.3,101.0,33.0,2012,1,15,2012-01-15
17,Toronto C04,62.0,58463663.0,942962.0,883000.0,103.0,61.3,122.0,1.9,101.0,23.0,2012,1,15,2012-01-15
18,Toronto C06,21.0,12198490.0,580880.0,585000.0,45.0,61.1,50.0,2.1,100.0,24.0,2012,1,15,2012-01-15
19,Toronto C07,66.0,40290399.0,610461.0,440000.0,136.0,64.8,139.0,1.7,98.0,32.0,2012,1,15,2012-01-15
20,Toronto C08,76.0,32537886.0,428130.0,385500.0,205.0,62.1,254.0,2.0,99.0,37.0,2012,1,15,2012-01-15
21,Toronto C09,14.0,13676000.0,976857.0,1115000.0,45.0,63.9,52.0,2.1,97.0,45.0,2012,1,15,2012-01-15
22,Toronto C10,30.0,19857851.0,661928.0,497500.0,78.0,70.6,65.0,1.5,101.0,17.0,2012,1,15,2012-01-15
23,Toronto C11,28.0,12840900.0,458604.0,262500.0,50.0,65.6,60.0,1.8,100.0,27.0,2012,1,15,2012-01-15
24,Toronto C12,17.0,28228500.0,1660500.0,1493000.0,55.0,52.8,112.0,3.4,98.0,46.0,2012,1,15,2012-01-15
25,Toronto C13,44.0,27359938.0,621817.0,401000.0,78.0,65.6,80.0,1.8,100.0,19.0,2012,1,15,2012-01-15
26,Toronto C14,84.0,47046780.0,560081.0,435000.0,182.0,62.2,220.0,1.7,98.0,33.0,2012,1,15,2012-01-15
27,Toronto C15,72.0,40471826.0,562109.0,413000.0,205.0,58.6,283.0,1.9,102.0,28.0,2012,1,15,2012-01-15
28,Toronto East,502.0,202198531.0,402786.0,375500.0,1007.0,61.1,1167.0,1.9,100.0,27.0,2012,1,15,2012-01-15
29,Toronto E01,42.0,21413599.0,509848.0,469250.0,88.0,60.5,91.0,1.6,101.0,18.0,2012,1,15,2012-01-15
30,Toronto E02,45.0,26738900.0,594198.0,582000.0,60.0,65.2,45.0,1.2,101.0,22.0,2012,1,15,2012-01-15
31,Toronto E03,58.0,27525030.0,474569.0,451940.0,107.0,61.4,89.0,1.5,101.0,18.0,2012,1,15,2012-01-15
32,Toronto E04,64.0,21549188.0,336706.0,345000.0,136.0,61.2,151.0,2.0,99.0,31.0,2012,1,15,2012-01-15
33,Toronto E05,40.0,15471788.0,386795.0,380000.0,71.0,71.0,74.0,1.4,101.0,27.0,2012,1,15,2012-01-15
34,Toronto E06,20.0,7655400.0,382770.0,394750.0,47.0,59.9,34.0,1.7,101.0,20.0,2012,1,15,2012-01-15
35,Toronto E07,53.0,19400286.0,366043.0,345000.0,88.0,58.8,146.0,2.1,100.0,31.0,2012,1,15,2012-01-15
36,Toronto E08,28.0,13971600.0,498986.0,356000.0,73.0,57.2,104.0,2.5,96.0,37.0,2012,1,15,2012-01-15
37,Toronto E09,68.0,20188951.0,296896.0,267500.0,160.0,58.2,207.0,2.2,99.0,35.0,2012,1,15,2012-01-15
38,Toronto E10,33.0,12727088.0,385669.0,414000.0,60.0,60.2,76.0,2.1,99.0,31.0,2012,1,15,2012-01-15
39,Toronto E11,51.0,15556701.0,305033.0,269900.0,117.0,58.1,150.0,2.4,98.0,28.0,2012,1,15,2012-01-15
40,TRREB Total,7032.0,3533635052.0,502508.0,416150.0,12684.0,60.7,14546.0,2.2,99.0,24.0,2012,2,15,2012-02-15
41,City of Toronto Total,2686.0,1486751884.0,553519.0,424944.0,5165.0,59.2,6090.0,2.2,101.0,22.0,2012,2,15,2012-02-15
42,Toronto West,667.0,304492983.0,456511.0,388500.0,1400.0,57.6,1710.0,2.5,100.0,26.0,2012,2,15,2012-02-15
43,Toronto W01,30.0,18192600.0,606420.0,536750.0,104.0,59.2,118.0,2.1,102.0,18.0,2012,2,15,2012-02-15
