,Name,Sales,Dollar Volume,Average Price,Median Price,New listings,SNLR,Active listings,MI,Avg SP/LP,Avg DOM,year,month
0,TREB Total,"4,567","$2,116,961,749","$463,534","$392,000","9,655",60.7%,"12,290",2.2,98%,32,12,1
1,City of Toronto Total,"1,705","$850,871,140","$499,045","$396,000","4,041",59.6%,"5,134",2.2,99%,31,12,1
2,Toronto West,433,"$173,892,394","$401,599","$360,000","1,032",58.1%,"1,419",2.6,98%,38,12,1
3,Toronto W01,17,"$9,044,400","$532,024","$490,000",71,60.0%,88,2.1,100%,24,12,1
4,Toronto W02,41,"$19,072,811","$465,191","$439,000",67,70.3%,63,1.2,101%,24,12,1
5,Toronto W03,42,"$14,301,400","$340,510","$335,000",76,58.6%,92,2.2,98%,45,12,1
6,Toronto W04,46,"$13,710,588","$298,056","$239,000",98,59.3%,153,2.8,97%,36,12,1
7,Toronto W05,54,"$18,263,100","$338,206","$335,250",129,54.3%,206,3.3,97%,39,12,1
8,Toronto W06,57,"$23,303,294","$408,830","$362,000",191,49.9%,287,3.2,99%,45,12,1
9,Toronto W07,16,"$10,115,000","$632,188","$535,000",23,68.9%,27,1.5,98%,29,12,1
10,Toronto W08,83,"$42,227,380","$508,764","$410,000",193,62.0%,235,2.2,99%,37,12,1
11,Toronto W09,28,"$10,287,021","$367,394","$404,000",61,54.4%,91,3.3,97%,40,12,1
12,Toronto W10,49,"$13,567,400","$276,886","$281,000",123,55.1%,177,3.2,96%,42,12,1
13,Toronto Central,770,"$474,780,215","$616,598","$439,950","2,002",59.6%,"2,548",2.1,99%,31,12,1
14,Toronto C01,193,"$84,774,582","$439,247","$385,750",654,54.6%,867,2.6,98%,32,12,1
15,Toronto C02,36,"$34,249,000","$951,361","$824,750",109,55.7%,171,2.7,99%,39,12,1
16,Toronto C03,27,"$22,784,400","$843,867","$617,000",57,59.8%,73,2.3,101%,33,12,1
17,Toronto C04,62,"$58,463,663","$942,962","$883,000",103,61.3%,122,1.9,101%,23,12,1
18,Toronto C06,21,"$12,198,490","$580,880","$585,000",45,61.1%,50,2.1,100%,24,12,1
19,Toronto C07,66,"$40,290,399","$610,461","$440,000",136,64.8%,139,1.7,98%,32,12,1
20,Toronto C08,76,"$32,537,886","$428,130","$385,500",205,62.1%,254,2.0,99%,37,12,1
21,Toronto C09,14,"$13,676,000","$976,857","$1,115,000",45,63.9%,52,2.1,97%,45,12,1
22,Toronto C10,30,"$19,857,851","$661,928","$497,500",78,70.6%,65,1.5,101%,17,12,1
23,Toronto C11,28,"$12,840,900","$458,604","$262,500",50,65.6%,60,1.8,100%,27,12,1
24,Toronto C12,17,"$28,228,500","$1,660,500","$1,493,000",55,52.8%,112,3.4,98%,46,12,1
25,Toronto C13,44,"$27,359,938","$621,817","$401,000",78,65.6%,80,1.8,100%,19,12,1
26,Toronto C14,84,"$47,046,780","$560,081","$435,000",182,62.2%,220,1.7,98%,33,12,1
27,Toronto C15,72,"$40,471,826","$562,109","$413,000",205,58.6%,283,1.9,102%,28,12,1
28,Toronto East,502,"$202,198,531","$402,786","$375,500","1,007",61.1%,"1,167",1.9,100%,27,12,1
